Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
89, 33455.9062, -130174.2266, 7.44021511, -75.5864
90, 33366.0156, -130104.6953, 7.44518375, -75.6162
91, 33350.6562, -130011.6328, 7.45039654, -75.6127
92, 33491.7656, -130014.6797, 7.44828224, -75.5547
93, 33331.0078, -130133.7734, 7.44410515, -75.6337
94, 33248.7500, -129901.5391, 7.45772743, -75.6432
95, 33325.8359, -130148.5234, 7.44338369, -75.6374
96, 33273.4844, -130207.9922, 7.44091129, -75.6654
97, 33270.6250, -130324.6641, 7.43469715, -75.6788
98, 33356.5625, -129947.5703, 7.45376062, -75.6034
99, 33480.0547, -130417.9922, 7.42683649, -75.6023
100, 33396.4688, -129984.6953, 7.45121193, -75.5909
101, 33514.6094, -130357.0859, 7.42961788, -75.5816
102, 33266.1562, -130233.5859, 7.43964005, -75.6711
103, 33300.6328, -130116.5078, 7.44544888, -75.6445
104, 33438.3438, -129954.6953, 7.45224667, -75.5704
105, 33668.4219, -130101.0234, 7.44120121, -75.4909
106, 33548.6016, -129827.9922, 7.45753527, -75.5113
107, 33514.0312, -129832.4609, 7.45777512, -75.5260
108, 33873.2656, -130427.1172, 7.42093182, -75.4413
109, 33612.6250, -129833.7734, 7.45633268, -75.4854
110, 33617.3594, -129924.5859, 7.45138168, -75.4932
111, 33747.5938, -129844.3203, 7.45388126, -75.4307
112, 33644.6094, -130107.6172, 7.44117785, -75.5014
113, 33651.3203, -129969.4297, 7.44850016, -75.4839
114, 33627.3359, -130219.1016, 7.43544531, -75.5205
115, 33457.8281, -129832.6797, 7.45854425, -75.5493
116, 33580.3594, -130182.8984, 7.43803310, -75.5360
117, 33540.3281, -130145.7578, 7.44057655, -75.5486
118, 33327.1094, -129937.2578, 7.45472240, -75.6145
119, 33253.1484, -129936.1016, 7.45580435, -75.6450
120, 33350.2812, -130036.2891, 7.44907570, -75.6154
121, 33334.3125, -129252.6484, 7.49165106, -75.5385
122, 33315.3906, -128996.5391, 7.50586176, -75.5189
123, 33365.0938, -129084.3984, 7.50037289, -75.5077
124, 33507.9531, -129405.2422, 7.48093605, -75.4828
125, 33530.1562, -129360.3203, 7.48305893, -75.4687
126, 33544.9062, -129204.4297, 7.49131012, -75.4458
127, 33538.9609, -129051.4297, 7.49971485, -75.4318
128, 33509.8750, -129257.9609, 7.48889685, -75.4661
