Temp Num, Object(℃), Ambient(℃)
1041, 37.743, 37.394
1042, 37.733, 37.401
1043, 37.743, 37.401
1044, 37.752, 37.401
1045, 37.752, 37.401
1046, 37.766, 37.408
1047, 37.779, 37.416
1048, 37.775, 37.409
1049, 37.804, 37.409
1050, 37.817, 37.416
1051, 37.817, 37.416
1052, 37.808, 37.416
1053, 37.779, 37.416
1054, 37.798, 37.423
1055, 37.817, 37.423
1056, 37.798, 37.423
1057, 37.811, 37.430
1058, 37.802, 37.430
1059, 37.783, 37.430
1060, 37.783, 37.430
1061, 37.792, 37.430
1062, 37.802, 37.430
1063, 37.830, 37.430
1064, 37.821, 37.437
1065, 37.796, 37.445
1066, 37.805, 37.445
1067, 37.815, 37.445
1068, 37.834, 37.445
1069, 37.825, 37.445
1070, 37.815, 37.452
1071, 37.815, 37.452
1072, 37.796, 37.452
1073, 37.796, 37.452
1074, 37.796, 37.452
1075, 37.790, 37.459
1076, 37.809, 37.466
1077, 37.847, 37.466
1078, 37.838, 37.466
1079, 37.828, 37.466
1080, 37.819, 37.466
1081, 37.809, 37.466
1082, 37.822, 37.473
1083, 37.832, 37.481
1084, 37.851, 37.481
1085, 37.841, 37.481
1086, 37.822, 37.481
1087, 37.851, 37.481
1088, 37.851, 37.481
1089, 37.832, 37.481
1090, 37.845, 37.488
1091, 37.849, 37.495
1092, 37.858, 37.495
1093, 37.868, 37.495
1094, 37.868, 37.495
1095, 37.849, 37.495
1096, 37.839, 37.495
1097, 37.830, 37.495
1098, 37.830, 37.502
1099, 37.849, 37.502
1100, 37.878, 37.502
1101, 37.881, 37.510
1102, 37.872, 37.510
1103, 37.881, 37.510
1104, 37.872, 37.517
1105, 37.872, 37.517
1106, 37.891, 37.517
1107, 37.900, 37.517
1108, 37.910, 37.517
1109, 37.904, 37.524
1110, 37.885, 37.524
1111, 37.894, 37.524
1112, 37.885, 37.531
1113, 37.866, 37.531
1114, 37.875, 37.531
1115, 37.885, 37.531
1116, 37.894, 37.531
1117, 37.875, 37.531
1118, 37.866, 37.531
1119, 37.885, 37.531
1120, 37.914, 37.531
1121, 37.923, 37.531
1122, 37.875, 37.531
1123, 37.875, 37.531
1124, 37.904, 37.531
1125, 37.875, 37.531
1126, 37.856, 37.531
1127, 37.885, 37.531
1128, 37.885, 37.531
1129, 37.885, 37.531
1130, 37.889, 37.538
1131, 37.898, 37.546
1132, 37.898, 37.539
1133, 37.889, 37.539
1134, 37.889, 37.546
1135, 37.879, 37.546
1136, 37.889, 37.546
1137, 37.908, 37.546
1138, 37.908, 37.546
1139, 37.898, 37.546
1140, 37.898, 37.546
1141, 37.898, 37.546
1142, 37.889, 37.546
1143, 37.917, 37.546
1144, 37.927, 37.546
1145, 37.917, 37.546
1146, 37.917, 37.546
1147, 37.908, 37.546
1148, 37.931, 37.553
1149, 37.911, 37.553
1150, 37.892, 37.553
1151, 37.921, 37.553
1152, 37.931, 37.553
1153, 37.911, 37.553
1154, 37.898, 37.546
1155, 37.908, 37.546
1156, 37.898, 37.546
1157, 37.898, 37.538
1158, 37.908, 37.538
